timestamp,date,hour,day_of_week,log_type,event_type,action,protocol,src_ip,src_port,dst_ip,dst_port,src_country,dst_country,policy_name,application,url,url_category,severity,is_blocked,is_allowed,message
2026-06-23 10:07:01,2026-06-23,10,Tuesday,tcp-udp-proxy,,Allow,tcp,10.0.164.42,38364,57.144.192.3,443,,,TCP-UDP-Proxi-Internet-MHS-00,,,,,0,1,ProxyReplace: IP protocol
2026-06-23 10:07:01,2026-06-23,10,Tuesday,https-proxy,,Allow,tcp,10.0.164.42,38364,57.144.192.3,443,,,TCP-UDP-Proxi-Internet-MHS-00,,,,,0,1,ProxyAllow: HTTPS Request categories
2026-06-23 10:07:01,2026-06-23,10,Tuesday,tcp-udp-proxy,,Allow,tcp,10.0.174.168,49952,43.174.159.147,80,,,TCP-UDP-Proxi-Internet-MHS-00,,,,,0,1,ProxyReplace: IP protocol
2026-06-23 10:07:01,2026-06-23,10,Tuesday,http-proxy,,Deny,tcp,10.0.174.168,49952,43.174.159.147,80,,,TCP-UDP-Proxi-Internet-MHS-00,,,,,1,0,ProxyDeny: HTTP Request categories
2026-06-23 10:07:01,2026-06-23,10,Tuesday,http-proxy,,Allow,tcp,10.0.174.168,49952,43.174.159.147,80,,,TCP-UDP-Proxi-Internet-MHS-00,Mobile Legends: Bang Bang,,,,0,1,HTTP request
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Allow,tcp,10.0.174.219,41210,23.14.129.49,443,,,TCP-UDP-Proxi-Internet-MHS-00,HTTP Protocol over TLS SSL,,,,0,1,Application identified
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Allow,tcp,10.0.167.134,35182,23.39.173.83,443,,,TCP-UDP-Proxi-Internet-MHS-00,TikTok,,,,0,1,Application identified
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Allow,tcp,10.0.147.89,61377,13.207.229.61,443,,,TCP-UDP-Proxi-Internet-CCTV-00,,,,,0,1,"2026-06-23T17:07:01+07:00 WatchGuard-XTM D043027CCA4FF (2026-06-23T10:07:01) firewall: msg_id=""3000-0148"" Allow VDev Ekternal1 60 tcp 20 63 10.0.147.89 13.207.229.61 61377 443 offset 10 S 3104395062 win 28770  geo_dst=""IND""  (TCP-UDP-Proxi-Internet-CCTV-00)"
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Allow,tcp,10.0.164.42,38364,57.144.192.3,443,,,TCP-UDP-Proxi-Internet-MHS-00,Facebook,,,,0,1,Application identified
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Allow,tcp,10.0.174.219,41212,23.14.129.49,443,,,TCP-UDP-Proxi-Internet-MHS-00,HTTP Protocol over TLS SSL,,,,0,1,Application identified
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Deny,tcp,85.120.252.163,38613,103.149.71.35,23,,,Unhandled External Packet-00,,,,,1,0,"2026-06-23T17:07:01+07:00 WatchGuard-XTM D043027CCA4FF (2026-06-23T10:07:01) firewall: msg_id=""3000-0148"" Deny Ekternal1 Firebox 52 tcp 20 52 85.120.252.163 103.149.71.35 38613 23 offset 8 S 3775441886 win 65535  geo_src=""ROU""  geo_dst=""IDN"" flags=""SR"" duration=""0 seconds"" sent_pkts=""1"" rcvd_pkts=""0"" sent_bytes=""52"" rcvd_bytes=""0""  (Unhandled External Packet-00)"
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Deny,tcp,185.191.126.221,22386,103.149.71.34,23,,,Unhandled External Packet-00,,,,,1,0,"2026-06-23T17:07:01+07:00 WatchGuard-XTM D043027CCA4FF (2026-06-23T10:07:01) firewall: msg_id=""3000-0148"" Deny Ekternal1 Firebox 40 tcp 20 52 185.191.126.221 103.149.71.34 22386 23 offset 5 S 575116647 win 553  geo_src=""SYC""  geo_dst=""IDN"" flags=""SR"" duration=""0 seconds"" sent_pkts=""1"" rcvd_pkts=""0"" sent_bytes=""40"" rcvd_bytes=""0""  (Unhandled External Packet-00)"
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Allow,icmp,10.0.150.1,,103.149.71.10,,,,Any From Firebox-00,,,,,0,1,"2026-06-23T17:07:01+07:00 WatchGuard-XTM D043027CCA4FF (2026-06-23T10:07:01) firewall: msg_id=""3000-0151"" Allow Firebox VLanData icmp 10.0.150.1 103.149.71.10 echo-request  geo_dst=""IDN"" duration=""3 seconds"" sent_pkts=""1"" rcvd_pkts=""0"" sent_bytes=""48"" rcvd_bytes=""0""  (Any From Firebox-00)"
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Allow,udp,10.0.147.89,57015,103.149.71.71,53,,,Allow-NS-Internal-00,,,,,0,1,"2026-06-23T17:07:01+07:00 WatchGuard-XTM D043027CCA4FF (2026-06-23T10:07:01) firewall: msg_id=""3000-0148"" fqdn_dst_match=""google.com"" Allow VDev SERVER SVT-HP 67 udp 20 63 10.0.147.89 103.149.71.71 57015 53  geo_dst=""IDN"" record_type=""A"" question=""aruba.brightcloud.com""  (Allow-NS-Internal-00)"
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Allow,tcp,10.0.174.168,49952,43.174.159.147,80,,,TCP-UDP-Proxi-Internet-MHS-00,Mobile Legends: Bang Bang,,,,0,1,Application identified
2026-06-23 10:07:01,2026-06-23,10,Tuesday,firewall,,Allow,udp,10.0.143.82,56736,57.144.186.141,443,,,TCP-UDP-Proxi-Internet-Kar-00,unknown,,,,0,1,Application identified
2026-06-23 10:07:01,2026-06-23,10,Tuesday,tcp-udp-proxy,,Allow,tcp,10.0.161.231,43964,23.40.63.71,443,,,TCP-UDP-Proxi-Internet-MHS-00,,,,,0,1,ProxyReplace: IP protocol
2026-06-23 10:07:01,2026-06-23,10,Tuesday,tcp-udp-proxy,,Allow,tcp,10.0.174.168,57614,123.176.125.45,80,,,TCP-UDP-Proxi-Internet-MHS-00,,,,,0,1,ProxyReplace: IP protocol
2026-06-23 10:07:01,2026-06-23,10,Tuesday,http-proxy,,Deny,tcp,10.0.174.168,57614,123.176.125.45,80,,,TCP-UDP-Proxi-Internet-MHS-00,,,,,1,0,ProxyDeny: HTTP Request categories
2026-06-23 10:07:01,2026-06-23,10,Tuesday,http-proxy,,Allow,tcp,10.0.174.168,57614,123.176.125.45,80,,,TCP-UDP-Proxi-Internet-MHS-00,Mobile Legends: Bang Bang,,,,0,1,HTTP request
2026-06-23 10:07:01,2026-06-23,10,Tuesday,https-proxy,,Allow,tcp,10.0.143.58,55268,150.171.110.104,443,,,TCP-UDP-Proxi-Internet-Kar-00,Microsoft.com,,,,0,1,HTTPS Request
2026-06-23 10:07:01,2026-06-23,10,Tuesday,https-proxy,,Allow,tcp,10.0.161.231,43964,23.40.63.71,443,,,TCP-UDP-Proxi-Internet-MHS-00,,,,,0,1,ProxyAllow: HTTPS Request categories
